"","Measure","Full_Model_Outcome","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_Lower","Reduced_Model_Upper"
"1","PSY",-0.112878925674249,-0.123416815471627,-0.102341035876871,-0.122793269104009,-0.134296459366391,-0.111290078841626
"2","ERR",-0.133210039293806,-0.149184071541044,-0.117236007046568,-0.151814783318577,-0.170072483398405,-0.133557083238749
"3","GSC",-0.134109714906482,-0.150118157383627,-0.118101272429337,-0.152804720886952,-0.171108094574482,-0.134501347199422
