"","coefs","standard_errors_coefs","probs_coefs","avg_marginal_effects","avg_marginal_effects_se","avg_marginal_effects_stat","avg_marginal_effects_pval"
"(Intercept)",1.95496459428239,2.35638598037584,0.406739346877459,NA,NA,NA,NA
"AGE_HEAD",-0.0132268410587688,0.0107412097137838,0.218169280142387,-0.00168274241789094,0.00228746078401732,-0.735637712195286,0.461951205548921
"EDUCATION_HEAD",0.0215011065993539,0.0427938069237632,0.615361560740988,0.00273540930490548,0.0080922253397124,0.338029304681066,0.735341104316211
"DEPENDENCY_RATIO",-0.0641485237286778,0.0637484666213848,0.314283035308532,-0.00816109012304865,0.0146371202296419,-0.55756118655919,0.577144066617639
"SOCIAL_PARTICIPATION",-0.172750083735561,0.378281104229266,0.647907398294834,-0.0225149786424041,0.0815862786534661,-0.275965260507045,0.782574748591366
"COFFEE_TREES",-0.201141611241333,0.0926722870220457,0.029971918401078,-0.0255895961619886,0.0219835745339806,-1.16403254268018,0.244410823945584
"PROPORTION_LAND_RENTED",0.138567615405213,1.01519948856473,0.891431564485171,0.0176288203021787,0.173659593040911,0.101513656651411,0.919142717120655
"ASSETS",-0.0264421702608666,0.0369358421678564,0.474056427938616,-0.00336402027677492,0.0087758008911715,-0.383329147788567,0.701475729981048
"ALTITUDE",-0.843547903934047,1.32685295984182,0.524938823933975,-0.107317675715021,0.245571767330784,-0.437011456493954,0.662103039544506
"DISTANCE_PAVED_ROAD",-0.187652739242512,0.140793198423681,0.182589135669722,-0.0238735177017128,0.0282171996077155,-0.846062615483112,0.397517814597162
"DECISION_DISAGREEMENTS",-0.912444329352729,0.331749229270028,0.0059521872138559,-0.114945718076103,0.0461616056783356,-2.49007191987796,0.0127717247979553
"PRICE_PREFERENCES_RESIDUALS",-0.377485896416563,0.381814807414096,0.322828405775579,-0.0480244320801067,0.089643645869685,-0.535726002821436,0.592147929747451
"INPUT_PREFERENCES_RESIDUALS",2.1712249906152,0.45470124963713,1.79655171641867e-06,0.27622713343627,0.0993717585521259,2.7797347803941,0.00544033109375697
"RELATIVE_PRICE_DIFFERENTIAL_RESIDUALS",4.00287409366457,0.732064749563831,4.55338148547024e-08,0.509252813780047,0.194181791261921,2.62255698884322,0.0087272670730707
