"","Measure","Full_Model_Outcome","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_Lower","Reduced_Model_Upper"
"1","PSY",0.69369216151656,0.686211649318668,0.701172673714453,0.530508040902974,0.523672714291153,0.537343367514795
"2","ERR",0.0382855353721106,0.0330209630415205,0.0435501077027006,0.180987594958446,0.177362936242612,0.184612253674281
"3","GSC",0.00953359426398753,0.00822367268808793,0.0108435158398871,0.0450162939516556,0.0441136743249256,0.0459189135783855
