"","Measure","Full_Model_Outcome","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_Lower","Reduced_Model_Upper"
"1","PSY",0.00895183095175388,-0.00602391668520288,0.0239275785887106,0.0738545851641392,0.0596516215683345,0.088057548759944
"2","ERR",0.07712082903262,0.057711738124287,0.0965299199409529,0.164364107550246,0.145959906888753,0.182768308211739
"3","GSC",0.0771308044560483,0.0576590044421101,0.0966026044699866,0.16489217907168,0.146452652798898,0.183331705344461
