"","Measure","direct_Model_Outcome","direct_Model_Lower","direct_Model_Upper","direct_model_sigonly","Reduced_Model_Outcome","Reduced_Model_Lower","Reduced_Model_Upper","Reduced_model_sigonly"
"1","PSY",0.595787069478943,0.589860998546084,0.601713140411802,0.594470449788992,0.635489299257098,0.630136084731398,0.640842513782797,0.6301475004565
"2","ERR",0.254212318629223,0.25122884528999,0.257195791968456,0.160738672078521,0.302941712896345,0.299716402646763,0.306167023145926,0.211739235064983
"3","GSC",0.0632568727856948,0.0625131138607941,0.0640006317105955,0.0400042595327157,0.0753987908734906,0.0745947727774126,0.0762028089695687,0.0527060475363071
