"","coefs","standard_errors","probs"
"1",1.95496459428239,2.35638598037584,0.406739346877459
"2",-0.0132268410587688,0.0107412097137838,0.218169280142387
"3",0.0215011065993539,0.0427938069237632,0.615361560740988
"4",-0.0641485237286778,0.0637484666213848,0.314283035308532
"5",-0.172750083735561,0.378281104229266,0.647907398294834
"6",-0.201141611241333,0.0926722870220457,0.029971918401078
"7",0.138567615405213,1.01519948856473,0.891431564485171
"8",-0.0264421702608666,0.0369358421678564,0.474056427938616
"9",-0.843547903934047,1.32685295984182,0.524938823933975
"10",-0.187652739242512,0.140793198423681,0.182589135669722
"11",-0.912444329352729,0.331749229270028,0.0059521872138559
"12",-0.377485896416563,0.381814807414096,0.322828405775579
"13",2.1712249906152,0.45470124963713,1.79655171641867e-06
"14",4.00287409366457,0.732064749563831,4.55338148547024e-08
"15",7.47274502784426,2.93509444016523,0.0108965764439551
"16",-0.0242086877577679,0.0167631977420549,0.148694844291657
"17",-0.0721173729688278,0.0622169690485032,0.246404393654311
"18",-0.0797544853687488,0.0916698689123528,0.384290273246242
"19",-0.712073125267369,0.548116465306159,0.19390020704017
"20",0.00472692398169677,0.108242990820204,0.965167802191493
"21",0.429378836287919,1.05621469386949,0.68435608646229
"22",0.0266992817978233,0.0467588500562091,0.567999955750025
"23",-2.66228956162283,1.52674030263775,0.0811985610443511
"24",0.63643782860037,0.173898139322297,0.000252381488955958
"25",0.996194130808168,0.41045463679223,0.015222136895331
"26",-0.400881714600664,0.549427158049962,0.465612843664339
"27",0.689978719621058,0.60340160148248,0.252838627428522
"28",-2.96078642289164,1.15574243999407,0.0104129853370664
