"","Measure","Full_Model_Outcome","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_Lower","Reduced_Model_Upper"
"1","PSY",0.589691650821343,0.579664947735658,0.599718353907027,0.584513897278093,0.574098183897629,0.594929610658558
"2","ERR",0.0663246241187287,0.0640683351934535,0.0685809130440038,0.0639685975278098,0.0616687467270702,0.0662684483285494
"3","GSC",0.0164454351389575,0.0158848136715832,0.0170060566063318,0.0158602947591983,0.0152888708105298,0.0164317187078669
