"","Measure","direct_Model_Outcome","direct_Model_Lower","direct_Model_Upper","direct_model_sigonly","Reduced_Model_Outcome","Reduced_Model_Lower","Reduced_Model_Upper","Reduced_model_sigonly"
"1","PSY",0.147772695308432,0.139295909360495,0.156249481256369,0.147772695308432,0.0909817275157386,0.0833243683342734,0.0986390866972039,0.0909817275157386
"2","ERR",0.338273491671989,0.330507371579516,0.346039611764462,0.338273491671989,0.211428608248568,0.203032975412053,0.219824241085083,0.211428608248568
"3","GSC",0.338617093773978,0.330840714423882,0.346393473124075,0.338617093773978,0.211667140062692,0.203260720307419,0.220073559817964,0.211667140062692
