"","Measure","direct_Model_Outcome","direct_Model_Lower","direct_Model_Upper","direct_model_sigonly","Reduced_Model_Outcome","Reduced_Model_Lower","Reduced_Model_Upper","Reduced_model_sigonly"
"1","PSY",0.638031851702683,0.631324956104998,0.644738747300368,0.458908660641294,0.659252359087518,0.653122129364949,0.665382588810087,0.522751117949342
"2","ERR",0.0905293664389699,0.0884789383993099,0.0925797944786298,0.131100138296051,0.103347825365598,0.101234279129872,0.105461371601324,0.130168500495579
"3","GSC",0.0224587507754063,0.0219490537208974,0.0229684478299151,0.0322070661200272,0.0256441493910929,0.0251187844021138,0.0261695143800719,0.0320938464700752
