"","Measure","direct_Model_Outcome","direct_Model_Lower","direct_Model_Upper","direct_model_sigonly","Reduced_Model_Outcome","Reduced_Model_Lower","Reduced_Model_Upper","Reduced_model_sigonly"
"1","PSY",0.0701884335992548,0.0604143931893165,0.0799624740091931,0.0701884335992548,0.0392635304636871,0.0303298722371777,0.0481971886901965,0.0392635304636871
"2","ERR",0.345005580286683,0.330170406057264,0.359840754516101,0.345005580286683,0.25226198341278,0.236970138957644,0.267553827867916,0.25226198341278
"3","GSC",0.345267584927556,0.330408557958908,0.360126611896203,0.345267584927556,0.252404729398622,0.23708894040089,0.267720518396353,0.252404729398622
