"","Measure","direct_Model_Outcome","direct_Model_Lower","direct_Model_Upper","direct_model_sigonly","Reduced_Model_Outcome","Reduced_Model_Lower","Reduced_Model_Upper","Reduced_model_sigonly"
"1","PSY",0.622167145754991,0.615919074514542,0.62841521699544,0.424003823863414,0.627005663736595,0.620872121324638,0.633139206148552,0.456972969665991
"2","ERR",0.400225967560963,0.395013338127047,0.405438596994878,0.25518817448498,0.403450478917372,0.398329827703773,0.40857113013097,0.274751339611745
"3","GSC",0.0962122698802398,0.0949011307189184,0.0975234090415613,0.0612160396788747,0.0970192591220681,0.0957311572640224,0.0983073609801137,0.0657699591110464
