"","Measure","Full_Model_Outcome","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_Lower","Reduced_Model_Upper"
"1","PSY",0.741591993089592,0.737172961720044,0.746011024459141,0.733503434346101,0.729193844817242,0.73781302387496
"2","ERR",0.405240096002257,0.401806571819849,0.408673620184665,0.401404730374917,0.398111218277566,0.404698242472269
"3","GSC",0.100913879665948,0.100057704466339,0.101770054865557,0.0999542186500974,0.0991330180155063,0.100775419284688
