"","Measure","direct_Model_Outcome","direct_Model_Lower","direct_Model_Upper","direct_model_sigonly","Reduced_Model_Outcome","Reduced_Model_Lower","Reduced_Model_Upper","Reduced_model_sigonly"
"1","PSY",-0.0226967144656304,-0.0322040495196592,-0.0131893794116017,-0.0226967144656304,-0.0327150507849911,-0.0421500772146008,-0.0232800243553814,-0.0327150507849911
"2","ERR",0.0432426738802627,0.0311286516811284,0.0553566960793969,0.0432426738802627,0.031771518940368,0.01956350826544,0.043979529615296,0.031771518940368
"3","GSC",0.0456534521818164,0.033005664256058,0.0583012401075747,0.0456534521818164,0.03372478836688,0.0209780458751039,0.0464715308586562,0.03372478836688
