"","Measure","Full_Model_Outcome","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_Lower","Reduced_Model_Upper"
"1","PSY",0.351873173251342,0.343420517840878,0.360325828661806,0.348891221482359,0.340175649794434,0.357606793170284
"2","ERR",0.190011058033286,0.184942297348317,0.195079818718255,0.182309394099918,0.177519490658884,0.187099297540952
"3","GSC",0.0467432882133509,0.0454818859860307,0.0480046904406712,0.0448451837814147,0.0436526582024074,0.046037709360422
