"","Measure","Full_Model_Outcome","Full_Model_Lower","Full_Model_Upper","Full_model_sigonly","Reduced_Model_Outcome","Reduced_Model_Lower","Reduced_Model_Upper","Reduced_model_sigonly"
"1","PSY",0.576420483726235,0.570132706076851,0.58270826137562,0.554922253864798,0.642902372214377,0.637199366673088,0.648605377755666,0.625722782264692
"2","ERR",0.385058611625794,0.379754272797114,0.390362950454474,0.23784474016247,0.4480626502201,0.443252774194796,0.452872526245404,0.246907795853041
"3","GSC",0.0952634697767956,0.0939444899154781,0.096582449638113,0.0586774739507557,0.110954401916062,0.109757776216507,0.112151027615617,0.0610567463156929
