"","lr_stat","p_value"
"1",11.9756882633356,0.101361213143208
"2",28.1349136144463,0.00020785136117354
"3",29.4513208039173,0.00011967966266014
"4",29.1111684536716,0.000138086467030219
"5",33.2710645680954,2.3568582081011e-05
"6",30.497447527123,7.69430669118377e-05
"7",33.2710646557584,2.35685811936873e-05
"8",33.2710639777568,2.35685880564099e-05
"9",33.2710632785668,2.35685951336029e-05
"10",26.4824897176231,0.000412838741593012
"11",17.7391511958383,0.0132039996741132
"12",33.2710643911812,2.3568583871734e-05
"13",20.1842981068587,0.00518506134573638
"14",33.2710646504849,2.35685812470657e-05
"15",22.1317708929927,0.00241086292475691
"16",25.2920927302948,0.000673419331894024
"17",33.2710645524792,2.35685822390777e-05
"18",33.2710643743526,2.35685840420729e-05
"19",21.5434452200326,0.00304381454674855
"20",28.457805445392,0.000181606780788385
"21",33.2710646608785,2.35685811418618e-05
"22",25.3626810482227,0.000654242821248791
"23",30.4979267335748,7.69274526984543e-05
"24",33.271064655711,2.35685811941673e-05
"25",19.7541484584464,0.00612592959101499
"26",11.470629251857,0.119367176237159
"27",22.5599618846356,0.00203277819653557
"28",25.291838961221,0.000673489257037591
"29",22.9482221848114,0.00174036014505416
"30",33.271064655711,2.35685811941673e-05
"31",29.1110827879123,0.000138091437219882
"32",21.8398821891934,0.0027069732618224
"33",29.1112218572964,0.000138083368726967
"34",27.1868725228974,0.000308427939806088
"35",22.2982287428474,0.00225637814973391
"36",9.43281944554073,0.223056192843607
"37",33.2710632556562,2.35685953655039e-05
"38",26.6783678505316,0.000380742447104788
"39",22.3999026606259,0.00216680742550472
"40",29.4514456713787,0.00011967337128301
"41",23.3317500784724,0.00149196919293981
"42",33.2710645603239,2.3568582159674e-05
"43",21.1342457717596,0.0035764585931169
"44",18.5210492991157,0.00982775901498914
"45",33.271063813531,2.35685897187012e-05
"46",33.2710640420806,2.35685874053247e-05
"47",24.3160269327177,0.00100238090013545
"48",26.1529121090161,0.000472941651184453
"49",33.271063813531,2.35685897187012e-05
"50",24.4183659330564,0.000961583400691601
"51",17.4354093842002,0.014794343310936
"52",23.290400549948,0.00151698785493057
"53",24.0269609347693,0.0011269850860741
"54",33.271064353042,2.35685842577777e-05
"55",17.4849090502897,0.0145232483431148
"56",26.7213309812418,0.000374037528321885
"57",13.2441277461539,0.0663789932342227
"58",30.4973970239433,7.69447126633353e-05
"59",33.2710645167162,2.35685826010703e-05
"60",29.1110176511774,0.000138095216466552
"61",29.1115261273466,0.000138065717283356
"62",26.3704430966455,0.000432378426856518
"63",29.4514156143707,0.000119674885658728
"64",33.2710644254614,2.35685835247497e-05
"65",33.2710639974963,2.35685878566071e-05
"66",27.7257005509406,0.000246529824173193
"67",20.2177973625048,0.00511796642079795
"68",21.0754471451388,0.00366007491471865
"69",17.4723642087896,0.0145915003599926
"70",19.8011691562384,0.00601555061431137
"71",33.2710646358126,2.35685813955781e-05
"72",33.2710640420806,2.35685874053247e-05
"73",19.2972165568198,0.00730553174200355
"74",29.111447750309,0.000138070263912737
"75",22.6598833910713,0.00195324111203203
"76",21.7541118173355,0.00280051578133297
"77",33.2710644254614,2.35685835247497e-05
"78",33.2710639974963,2.35685878566071e-05
"79",23.0687644358298,0.00165823299730335
"80",24.8413636483286,0.00080952675938145
"81",20.6586040593561,0.00430969892810716
"82",19.8608664399316,0.00587818004590192
"83",30.4978510508285,7.69299184976475e-05
"84",33.2710641140463,2.35685866768893e-05
"85",33.2710646329718,2.35685814243333e-05
"86",14.4585731688662,0.0436010246068549
"87",30.4980476303078,7.69235139563561e-05
"88",4.35651719570581,0.73791895994892
"89",30.4977968560314,7.69316842516872e-05
"90",33.2710646011243,2.3568581746693e-05
"91",17.2726546258207,0.0157201707863717
"92",21.2545508276929,0.00341111511494843
"93",33.2710640400613,2.3568587425764e-05
"94",33.2710635074288,2.3568592817064e-05
"95",33.2701330786443,2.35780124688755e-05
"96",15.8682991880243,0.0263472152554876
"97",28.1335300566525,0.000207971486543588
"98",26.6785197704507,0.000380718531338893
"99",17.0610712619358,0.0170065991338738
"100",33.2710640287151,2.35685875406102e-05
"101",28.1339337171126,0.000207936432257872
"102",29.1117750070722,0.000138051280820418
"103",20.1346742848265,0.00528601844969229
"104",14.3588829981772,0.0451542579888057
"105",23.4083652693161,0.00144667364357333
"106",30.4978138400089,7.69311308819597e-05
"107",16.3447958047994,0.0221463275351481
"108",29.1115587489849,0.000138063824955003
"109",28.1347744634106,0.000207863439667114
"110",26.3674314274758,0.000432915972925538
"111",19.777690093642,0.00607042428836108
"112",33.2710640469568,2.35685873559686e-05
"113",33.2710640871097,2.35685869495414e-05
"114",20.5211351271937,0.00454747654824181
"115",33.2702666837662,2.35766596229759e-05
"116",21.7274347022829,0.0028302459961069
"117",33.2710639386053,2.35685884527005e-05
"118",13.7484185566789,0.0558412255918466
"119",29.1114757466971,0.000138068639833384
"120",33.2710640871097,2.35685869495414e-05
"121",33.2710635665056,2.35685922190899e-05
"122",18.8662648165962,0.00861676343234163
