"","Measure","Full_Model_Outcome","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_Lower","Reduced_Model_Upper"
"1","PSY",-0.0775361240090497,-0.0850373728359511,-0.0700348751821482,-0.0804892077797922,-0.0881941074540231,-0.0727843081055613
"2","ERR",-0.0870236031127267,-0.106379259878271,-0.0676679463471829,-0.0866885522091858,-0.107022773995013,-0.0663543304233586
"3","GSC",-0.0876020916462886,-0.106992185365936,-0.0682119979266415,-0.0872957691521652,-0.107666599323248,-0.0669249389810827
