"","Measure","direct_Model_Outcome","direct_Model_Lower","direct_Model_Upper","direct_model_sigonly","Reduced_Model_Outcome","Reduced_Model_Lower","Reduced_Model_Upper","Reduced_model_sigonly"
"1","PSY",0.526203571626143,0.514860381987487,0.537546761264799,0.467702139918789,0.532295360792309,0.521969859342231,0.542620862242386,0.484079573753165
"2","ERR",0.316339018817537,0.306111413655826,0.326566623979249,0.281865500549108,0.322833757497509,0.313803214381646,0.331864300613372,0.278677478962567
"3","GSC",0.0782124427487383,0.0756709245567253,0.0807539609407514,0.0691341426631399,0.0798214392172942,0.0775771170170342,0.0820657614175541,0.0684121053254814
