"","HHID","SINGLE","FEMALE_HEAD","AGE_HEAD","EDUCATION_HEAD","DEPENDENCY_RATIO","SOCIAL_PARTICIPATION","COFFEE_TREES","COFFEE_TREES_SQR","PROPORTION_LAND_RENTED","ASSETS","ALTITUDE","DISTANCE_PAVED_ROAD","DECISION_DISAGREEMENTS","INPUT_PREFERENCES","EASE_MARKETING_PREFERENCES","PRICE_PREFERENCES","RELATIVE_PRICE_DIFFERENTIAL","BINARY_PARTICIPATION","CONTINUOUS_PARTICIPATION"
"188","6687",0,0,35,12,1,1,3,9,0,14.69,1.829,0.465888281697911,1,0,0,1,-0.1,0,0
"189","8625",0,0,43,7,5,1,1.2,1.44,0,1.71,1.829,0.465888281697911,0,0.412,0.393,0.135,0,1,0.0603448275862069
"190","3088",0,0,75,0,1,0,0.6,0.36,0,1.56,1.829,0.465888281697911,1,1,0,0,0.05,0,0
"191","8722",0,0,55,4,0.666666666666667,1,1.4,1.96,0.176224264278237,15.91,1.829,0.465888281697911,0,0,1,0,-0.1,1,0.0454545454545455
"192","2271",0,0,63,16,2,1,0.5,0.25,0,10.08,1.829,0.465888281697911,1,0,0,0,-0.1,0,0
"193","9179",0,0,57,4,5,0,0.5,0.25,0,10.76,1.591,0.136070989112243,0,1,0,0,-0.1,0,0
"194","5437",0,0,42,9,4,1,0.35,0.1225,0.667032967032967,0.48,1.591,0.136070989112243,0,1,0,0,0.15,0,0
"195","5801",0,0,51,16,2.33333333333333,1,1.2,1.44,0.142655367231638,27.02,1.591,0.136070989112243,1,0,0,1,-0.15,0,0
"196","3055",0,0,70,0,2,0,0.6,0.36,0,1.72,1.591,0.136070989112243,1,0,0,0,0,0,0
"197","9930",0,0,45,9,6,1,0.48,0.2304,0.857344632768362,0.6,1.591,0.136070989112243,0,0.412,0.393,0.135,0.2,0,0
"198","9867",0,0,69,7,0.5,1,3,9,0,2.32,1.591,0.136070989112243,1,0,1,0,-0.05,0,0
"199","4384",0,0,30,15,1.33333333333333,1,0.6,0.36,0.332967032967033,3.26,1.591,0.136070989112243,1,0,1,0,-0.05,0,0
"200","5631",0,0,10,7,6,1,1.6,2.56,0,0.87,1.591,0.136070989112243,1,0,1,0,0.2,0,0
"201","6418",0,0,47,9,6,0,0.45,0.2025,0.25,11.36,1.591,0.136070989112243,0,0.415,0.072,0.095,0.2,1,0.466666666666667
"202","5878",0,0,49,16,5,1,2,4,0,5.36,1.829,0.465888281697911,0,0,0,0,0.4,1,0.545454545454545
"203","9554",1,0,65,7,1.2,1,4,16,0,8.56,1.829,0.465888281697911,0,0.112,0.61,0.21,0.4,1,0.666666666666667
"204","5515",1,1,67,9,0.5,1,2.2,4.84,0,3.97,1.829,0.465888281697911,0,0,1,0,0.4,1,0.869565217391304
"205","7196",0,0,62,4,1.66666666666667,1,0.9,0.81,0,11.46,1.591,0.136070989112243,0,0,0,0,0,0,0
"206","2382",0,0,55,15,2.66666666666667,1,1.5,2.25,0,4.18,2.016,2.61773723560502,1,0,0,1,0.05,0,0
"207","2230",0,0,47,7,4,1,0.4,0.16,0,1.72,1.591,0.136070989112243,0,0,0,0,-0.1,0,0
"208","4866",0,0,39,15,1.66666666666667,1,1.8,3.24,0.066561223144853,6.02,2.016,2.61773723560502,0,0.157,0.071,0.364,0,0,0
"209","3327",1,0,65,15,4,1,0.16,0.0256,0.142655367231638,2.52,2.016,2.61773723560502,0,0.163,0.273,0.465,0.1,0,0
"210","1131",0,0,54,9,6,1,2.5,6.25,0.176224264278237,19.74,1.591,0.136070989112243,0,0.333,0,0.333,-0.05,0,0
