"","HHID","FEMALE","SINGLE","FEMALE_HEAD","AGE","EDUCATION","DEPENDENCY_RATIO","SOCIAL_PARTICIPATION","COFFEE_TREES","COFFEE_TREES_SQR","PROPORTION_LAND_RENTED","ASSETS","ALTITUDE","DISTANCE_PAVED_ROAD","DECISION_DISAGREEMENTS","INPUT_PREFERENCES","EASE_MARKETING_PREFERENCES","PRICE_PREFERENCES","RELATIVE_PRICE_DIFFERENTIAL","BINARY_PARTICIPATION"
"207","8071",0,0,0,55,9,3,0,1.6,2.56,0,0.62,1.934,1.18133704075502,0,0,1,0,2,0
"208","5516",0,0,0,40,15,2,1,7,49,0,9.62,1.934,1.18133704075502,1,0.155,0.38,0.218,2,0
"209","9796",0,0,0,82,4,1,0,1.4,1.96,0,0.32,1.934,1.18133704075502,1,0,1,0,2,0
"210","5516",1,0,0,35,7,0.6,0,8,64,0.0704159888449919,0.67,1.934,1.18133704075502,1,0,0,1,1,0
"211","7063",0,0,0,44,9,7,0,2,4,0.5,1.18,1.934,1.18133704075502,0,0.315,0.207,0,1,0
"212","9796",1,0,0,79,0,2,0,1,1,0,0.14,1.934,1.18133704075502,1,0,0,0.315,3,1
"213","1789",1,0,0,47,9,11,1,7,49,0,0.37,1.934,1.18133704075502,0,0,0,1,2,0
"214","7063",1,0,0,42,9,7,0,2,4,0.299990115646931,0.22,1.934,1.18133704075502,0,0,0,1,1,0
"215","1247",1,0,0,56,0,1,0,3,9,0,0.06,1.948,2.41284001840833,0,0,0,1,2,0
"216","1247",0,0,0,66,16,1,0,0.3,0.09,0,0.15,1.948,2.41284001840833,0,1,0,0,2,0
"217","8639",0,0,0,50,9,2,1,0.7,0.49,0,0.42,1.948,2.41284001840833,0,0,1,0,3,0
"218","8639",1,0,0,53,12,2,0,0.7,0.49,0,0.2,1.948,2.41284001840833,0,0.245,0.06,0.49,3,1
"219","1839",1,0,0,24,7,1.2,1,0.7,0.49,0.332967032967033,0.67,1.967,2.02626675091089,0,0.525,0.098,0.246,4,1
"220","1839",0,0,0,52,9,0.833333333333333,1,0.8,0.64,0.332967032967033,0.6,1.967,2.02626675091089,0,0,0,1,3,0
"221","6321",1,0,0,35,7,2,1,0.7,0.49,0,0.12,1.948,2.41284001840833,0,0,0,1,2,0
"222","6321",0,0,0,54,7,0.5,1,0.7,0.49,0,0.84,1.948,2.41284001840833,0,0.385,0.142,0.331,2,0
"223","5768",1,0,0,55,7,0.615384615384615,1,1.5,2.25,0.066561223144853,0.32,1.967,2.02626675091089,0,0,0,0,5,0
"224","5768",0,0,0,61,15,0.615384615384615,1,2,4,0.066561223144853,1.22,1.967,2.02626675091089,0,0,0,1,5,0
"225","1872",0,0,0,58,9,3,1,1.2,1.44,0,0.2,2.057,1.9987055820886,1,0.385,0.473,0,3,0
"226","1872",1,0,0,53,9,2,0,0.8,0.64,0,0.37,2.057,1.9987055820886,1,0.624,0.043,0.193,3,0
"227","7397",0,0,0,59,9,1.4,1,2.3,5.29,0,0.16,1.967,2.02626675091089,1,0,0.478,0,3,0
"228","7397",1,0,0,54,4,1.4,1,2.4,5.76,0,0.14,1.967,2.02626675091089,1,0.551,0.22,0.058,3,0
"229","3771",1,0,0,60,0,1.5,1,0.2,0.04,0,0.02,1.948,2.41284001840833,0,0,0,1,2,0
"230","3771",0,0,0,65,0,1.5,0,0.2,0.04,0,0.15,1.948,2.41284001840833,0,1,0,0,2,0
"231","1868",1,0,0,56,7,3,0,0.7,0.49,0,0.3,1.996,2.99733933520758,0,0,0,1,2,1
"232","1868",0,0,0,59,7,1.5,0,0.75,0.5625,0,0.47,1.996,2.99733933520758,0,1,0,0,2,1
"233","1129",0,0,0,63,16,1,1,1.7,2.89,0.5,0.42,1.815,2.56633223402973,1,0,1,0,3,1
"234","1129",1,0,0,57,9,1.5,1,1.6,2.56,0.176224264278237,0.17,1.815,2.56633223402973,1,0.214,0.213,0.082,4,0
"235","4813",0,0,0,70,7,0.875,1,10,100,0,4.52,1.82,2.54436256898596,0,0,0,1,3,1
"236","4813",1,0,0,69,0,0.875,1,8,64,0,0.45,1.82,2.54436256898596,0,0,0,0,3,1
"237","4368",0,0,0,48,7,4,1,1.45,2.1025,0,0.12,1.815,2.56633223402973,0,0,1,0,4,1
"238","7622",1,0,0,25,9,3,0,0.3,0.09,0,0.16,1.82,2.54436256898596,0,0,0,1,1,1
"239","7622",0,0,0,29,7,3,1,0.3,0.09,0,0.52,1.82,2.54436256898596,0,1,0,0,1,1
"240","4023",1,0,0,70,0,0.5,1,3.5,12.25,0.066561223144853,0.55,1.82,2.54436256898596,1,0,0,0,3,0
"241","4023",0,0,0,81,0,1.25,1,4.5,20.25,0.066561223144853,0.55,1.82,2.54436256898596,1,0.138,0.395,0.387,3,0
"242","4368",1,0,0,48,15,4.5,1,2.4,5.76,0,0.58,1.815,2.56633223402973,0,0.002,0,0.309,4,1
"243","4353",0,0,0,35,9,1.33333333333333,1,0.95,0.9025,0.142655367231638,1.05,1.394,2.03838618758517,0,0,0,1,3,0
"244","4353",1,0,0,28,7,2,1,0.8,0.64,0,0.27,1.394,2.03838618758517,0,0,0,1,1,0
"245","5584",0,0,0,47,9,2.66666666666667,1,2.2,4.84,0.5,0.41,1.394,2.03838618758517,1,0,1,0,1,0
"246","5695",1,0,0,50,7,2,0,0.5,0.25,0,0.17,1.394,2.03838618758517,0,0,0,1,2,0
"247","5695",0,0,0,55,7,2,0,0.5,0.25,0,0.2,1.394,2.03838618758517,0,1,0,0,2,0
"248","9283",1,0,0,61,7,3.4,1,2,4,0.377722464219042,1.09,1.394,2.03838618758517,0,0.145,0.119,0.507,2,0
"249","7649",0,0,0,49,4,3,1,2,4,0,1.22,1.4,2.0651924668869,1,0,0,1,3,0
"250","9283",0,0,0,66,9,2.66666666666667,1,2.2,4.84,0.562867588618662,0.97,1.394,2.03838618758517,0,0,1,0,2,0
"251","7649",1,0,0,45,9,1.66666666666667,1,1.3,1.69,0,0.57,1.4,2.0651924668869,1,0,0,1,1,0
"252","6849",0,0,0,89,0,1,0,0.7,0.49,0,0.52,1.397,2.03269363877001,0,1,0,0,2,0
"253","6849",1,0,0,80,0,1,1,0.7,0.49,0,0.57,1.397,2.03269363877001,0,0,0,1,2,0
"254","5584",1,0,0,32,7,2.66666666666667,1,2.2,4.84,0.299990115646931,0.27,1.394,2.03838618758517,1,0.433,0.111,0.052,2,0
"255","8732",0,0,0,40,9,5,1,4,16,0,5.19,1.418,2.04226623780382,0,0,0,1,2,0
"256","8732",1,0,0,30,7,5,1,3,9,0,0.17,1.418,2.04226623780382,0,0,0,0.333,2,0
"257","4161",1,0,0,54,9,1.5,1,0.95,0.9025,0.299990115646931,0.79,1.418,2.04226623780382,1,0.095,0.074,0.4,2,0
"258","4161",0,0,0,59,9,1.5,0,1.1,1.21,0.299990115646931,0.58,1.418,2.04226623780382,1,0.125,0.375,0.125,2,0
"259","9386",1,0,0,27,9,5,1,2,4,0.142655367231638,0.45,1.418,2.04226623780382,0,0,0,1,3,0
"260","9386",0,0,0,35,7,5,1,1.2,1.44,0.142655367231638,0.87,1.418,2.04226623780382,0,0.333,0,0,2,1
"261","7444",0,0,0,52,9,7,0,1.5,2.25,0,0.82,1.418,2.04226623780382,1,1,0,0,2,0
"262","7444",1,0,0,40,9,7,1,2,4,0,0.52,1.418,2.04226623780382,1,0,0,1,2,0
"263","2828",0,0,0,41,7,9,1,4,16,0.176224264278237,0.63,1.418,2.04226623780382,0,0.211,0.065,0.089,3,0
"264","2828",1,0,0,38,7,9,1,3,9,0.176224264278237,0.57,1.418,2.04226623780382,0,0,0,0,3,0
"265","9526",0,0,0,44,9,8,1,0.75,0.5625,0,8.72,1.418,2.04226623780382,1,0,0,0,1,0
"266","9526",1,0,0,41,9,8,0,0.9,0.81,0,0.72,1.418,2.04226623780382,1,0,0,1,1,0
"267","9747",1,0,0,48,4,2,1,0.95,0.9025,0.299990115646931,0.18,1.418,2.04226623780382,1,0.139,0.19,0.506,2,0
"268","4743",1,0,0,46,7,3,1,0.7,0.49,0.5,0.22,1.489,0.329634207942671,0,0,0,1,1,0
"269","3960",1,0,0,34,7,3,1,1.2,1.44,0,0.27,1.647,0.47493759474425,0,0.427,0.156,0.083,2,0
"270","4743",0,0,0,49,9,3,1,0.6,0.36,0.5,0.47,1.489,0.329634207942671,0,1,0,0,1,0
"271","1033",0,0,0,61,9,1,1,6,36,0,1.44,1.489,0.329634207942671,1,0,0,1,3,0
"272","1033",1,0,0,59,9,1,1,4.5,20.25,0,1.47,1.489,0.329634207942671,1,0.215,0.055,0.478,3,0
"273","2140",0,0,0,38,9,6,1,4,16,0,0.88,1.647,0.47493759474425,0,0.022,0.257,0.038,2,0
"274","9298",1,0,0,35,7,7,1,1.5,2.25,0.5,1.21,1.489,0.329634207942671,0,0,0,1,5,0
"275","9298",0,0,0,40,15,7,1,2,4,0.332967032967033,5.62,1.489,0.329634207942671,0,0.207,0,0.479,4,0
"276","1821",0,0,0,46,9,5,1,0.5,0.25,0.823775735721763,1.42,1.489,0.329634207942671,0,1,0,0,2,0
"277","1821",1,0,0,40,7,5,1,0.7,0.49,0.700009884353069,0.82,1.489,0.329634207942671,0,0,0,1,2,0
"278","3960",0,0,0,50,9,3,1,1.2,1.44,0,1.46,1.647,0.47493759474425,0,0,1,0,2,0
"279","2140",1,0,0,35,16,9,1,4,16,0,0.92,1.647,0.47493759474425,0,0.251,0.036,0.502,3,1
"280","4460",0,0,0,49,15,1.25,1,4,16,0,6.72,1.629,2.19054558970534,1,0,0.29,0.126,3,0
"281","4460",1,0,0,35,9,1.25,1,2,4,0,0.92,1.629,2.19054558970534,1,0,0,1,1,0
"282","1506",1,0,0,36,15,8,1,2,4,0,0.52,1.629,2.19054558970534,1,0.198,0.031,0.434,2,0
"283","4054",1,0,0,40,7,0.857142857142857,1,1,1,0.142655367231638,0.54,1.629,2.19054558970534,0,0,0,1,1,0
"284","8455",1,0,0,62,4,4,1,0.9,0.81,0.299990115646931,0.77,1.629,2.19054558970534,1,0.288,0.186,0.256,2,0
"285","1506",0,0,0,49,16,8,1,2.5,6.25,0,1.42,1.629,2.19054558970534,1,0.257,0.061,0.485,3,0
"286","4054",0,0,0,50,9,3.33333333333333,1,2.1,4.41,0.332967032967033,5.42,1.629,2.19054558970534,0,0,0,1,3,0
"287","8455",0,0,0,78,7,4,1,0.98,0.9604,0.176224264278237,0.31,1.629,2.19054558970534,1,0.082,0.024,0.15,2,0
"288","7341",0,0,0,62,7,0.5,0,1.5,2.25,0.176224264278237,0.44,2.055,4.07525424071103,1,0,1,0,2,0
"289","1537",0,0,0,85,7,1,0,0.4,0.16,0,0.15,2.055,4.07525424071103,1,0,1,0,2,0
"290","3981",0,0,0,51,15,3,1,10,100,0.0571374693569678,2.62,2.055,4.07525424071103,0,0.263,0.312,0.273,2,0
"291","3981",1,0,0,45,9,3,1,7,49,0,2.27,2.055,4.07525424071103,0,0.274,0.31,0.101,2,0
"292","9035",0,0,0,50,7,7,0,1.8,3.24,0,0.7,2.055,4.07525424071103,1,1,0,0,2,0
"293","9035",1,0,0,44,7,7,0,1.8,3.24,0,0.92,2.055,4.07525424071103,1,0,0,1,2,0
"294","1418",0,0,0,45,9,3.25,1,2,4,0,0.97,2.055,4.07525424071103,1,0,0,1,2,0
"295","1418",1,0,0,42,7,3.25,1,1.5,2.25,0,0.57,2.055,4.07525424071103,1,0.211,0.035,0.412,2,0
"296","7341",1,0,0,55,4,0.5,1,0.9,0.81,0.332967032967033,0.06,2.055,4.07525424071103,1,0.258,0.265,0.226,2,0
"297","8626",0,0,0,51,9,2,0,0.3,0.09,0,0.67,1.981,2.1156950481765,0,1,0,0,2,0
"298","8626",1,0,0,48,0,2,1,0.3,0.09,0,0.7,1.981,2.1156950481765,0,0,0,1,2,0
"299","1906",0,0,0,47,7,1,1,0.6,0.36,0.700009884353069,1.22,2.055,4.07525424071103,1,0,1,0,2,0
"300","1906",1,0,0,43,9,1.4,1,0.6,0.36,0.700009884353069,0.44,2.055,4.07525424071103,1,0,0,1,2,0
"301","3962",1,0,0,68,15,0.5,1,1,1,0,0.4,2.055,4.07525424071103,1,0,0,1,1,0
"302","1537",1,0,0,82,0,1,1,0.46,0.2116,0,0.04,2.055,4.07525424071103,1,0.224,0.272,0.098,2,0
"303","3962",0,0,0,87,16,0.5,1,1.3,1.69,0,1.25,2.055,4.07525424071103,1,1,0,0,1,0
"304","7309",0,0,0,30,15,5,1,4.5,20.25,0.332967032967033,5.82,2.055,4.07525424071103,0,0,0.159,0.434,2,0
"305","7309",1,0,0,25,9,5,1,4,16,0.5,1.39,2.055,4.07525424071103,0,0.628,0.099,0.216,2,0
"306","5514",0,0,0,52,9,3.66666666666667,0,0.8,0.64,0.602780536246276,1.47,1.981,2.1156950481765,0,0,1,0,2,0
"307","4288",0,0,0,51,9,0.5,1,1.5,2.25,0.332967032967033,4.82,1.981,2.1156950481765,1,0.12,0.34,0.479,3,0
"308","3473",0,0,0,50,9,3,1,0.3,0.09,0.857344632768362,1,1.981,2.1156950481765,0,0,1,0,2,0
"309","4288",1,0,0,59,7,0.5,1,1,1,0.142655367231638,0.77,1.981,2.1156950481765,1,0.333,0,0,1,0
"310","7405",0,0,0,62,9,3,1,1,1,0,0.77,1.981,2.1156950481765,0,0.315,0.479,0,2,0
"311","7405",1,0,0,56,0,1.5,1,0.885,0.783225,0,0.32,1.981,2.1156950481765,0,0,0,1,2,0
"312","9702",0,0,0,60,16,0.6,1,4.7,22.09,0.066561223144853,5.27,1.981,2.1156950481765,0,0,0,1,3,0
"313","1966",1,0,0,56,7,1,0,0.48,0.2304,0,0.03,1.981,2.1156950481765,0,0.218,0.319,0.098,2,0
"314","2591",1,0,0,68,0,1,0,0.7,0.49,0,0.2,1.981,2.1156950481765,1,0,0,1,2,0
"315","9702",1,0,0,55,4,0.75,1,4,16,0.066561223144853,0.87,1.981,2.1156950481765,0,0,0,0,3,0
"316","2591",0,0,0,80,7,0.5,0,0.5,0.25,0,0.7,1.981,2.1156950481765,1,0,0,0,2,0
"317","1966",0,0,0,58,7,2,1,1.2,1.44,0,0.44,1.981,2.1156950481765,0,0.333,0.333,0,2,0
"318","3473",1,0,0,42,0,3,1,0.3,0.09,0.75,0.16,1.981,2.1156950481765,0,0.182,0.098,0.077,2,0
"319","5333",1,0,0,25,15,4,1,0.9,0.81,0,1.02,1.981,2.1156950481765,1,0.259,0.392,0.057,1,0
"320","5333",0,0,0,27,15,4,1,1.2,1.44,0,4.97,1.981,2.1156950481765,1,0,0,1,2,0
"321","4641",0,0,0,39,9,4,0,0.3,0.09,0,0.64,1.981,2.1156950481765,0,1,0,0,2,0
"322","5514",1,0,0,45,7,3.66666666666667,1,0.8,0.64,0.431009957325747,0.44,1.981,2.1156950481765,0,0.373,0.219,0.134,3,1
"323","9963",1,0,0,35,9,7,0,0.3,0.09,0,0.36,1.885,1.01759763243102,0,0,0,1,2,0
"324","9747",0,0,0,52,7,5,1,1.2,1.44,0.299990115646931,0.45,1.418,2.04226623780382,1,0,1,0,2,0
"325","4641",1,0,0,29,9,4,0,0.5,0.25,0,0.26,1.981,2.1156950481765,0,0,0,1,2,0
"326","1658",0,0,0,33,9,7,0,0.7,0.49,0.176224264278237,0.12,2.058,3.93435914521133,1,0,0,0,2,0
"327","1658",1,0,0,29,7,7,0,0.7,0.49,0.176224264278237,4.14,2.058,3.93435914521133,1,0.345,0.241,0.115,2,0
"328","5476",0,0,0,61,15,1,1,0.86,0.7396,0,4.82,2.058,3.93435914521133,1,0,0,1,2,0
"329","5476",1,0,0,58,7,0.666666666666667,1,1.5,2.25,0,0.38,2.058,3.93435914521133,1,0,0,1,2,0
"330","6524",1,0,0,69,7,2,1,0.3,0.09,0,0.33,2.058,3.93435914521133,1,0.001,0,0.315,2,0
"331","3407",0,0,0,37,12,2,1,1.1,1.21,0.142655367231638,1.37,2.058,3.93435914521133,1,0,0,1,2,0
"332","2477",0,0,0,52,7,3,1,0.4,0.16,0,0.6,2.058,3.93435914521133,0,1,0,0,1,0
"333","6524",0,0,0,84,7,2,1,0.3,0.09,0,1.52,2.058,3.93435914521133,1,0,1,0,2,0
"334","2477",1,0,0,49,9,3,1,0.6,0.36,0,0.37,2.058,3.93435914521133,0,0,0,1,1,0
"335","2053",0,0,0,56,7,4,0,0.6,0.36,0.332967032967033,0.2,2.058,3.93435914521133,1,0.22,0.399,0,2,0
"336","3407",1,0,0,39,9,2,1,0.7,0.49,0.142655367231638,0.57,2.058,3.93435914521133,1,0,0,1,1,0
"337","8718",0,0,0,49,16,1.33333333333333,1,6.5,42.25,0.030140256639809,1.32,2.058,3.93435914521133,1,0.251,0.199,0.467,3,0
"338","7742",0,0,0,42,7,7,0,0.3,0.09,0.75,1.12,2.058,3.93435914521133,0,0,0,0,2,0
"339","2053",1,0,0,50,7,4,0,0.58,0.3364,0.5,0.35,2.058,3.93435914521133,1,0.345,0.059,0.057,2,0
"340","7742",1,0,0,39,7,7,1,0.8,0.64,0.5,0.35,2.058,3.93435914521133,0,0,0,1,2,0
"341","9117",0,0,0,50,9,6,0,0.4,0.16,0,0.77,2.058,3.93435914521133,0,0.667,0,0,1,0
"342","9117",1,0,0,45,7,6,0,0.5,0.25,0,1.25,2.058,3.93435914521133,0,0,0,1,1,0
"343","8718",1,0,0,46,9,1.33333333333333,1,0.75,0.5625,0.142655367231638,0.52,2.058,3.93435914521133,1,0,0,1,1,0
"344","2626",1,0,0,58,4,2.33333333333333,1,0.65,0.4225,0.142655367231638,0.45,2.019,3.27307516750747,1,0,0,1,2,0
"345","2626",0,0,0,65,7,2.33333333333333,1,0.8,0.64,0.332967032967033,5.16,2.019,3.27307516750747,1,0,0,1,3,0
"346","1984",0,0,0,40,9,1.25,1,1.3,1.69,0,5.87,2.019,3.27307516750747,1,0,0,1,3,0
"347","1984",1,0,0,35,7,1.25,1,1.5,2.25,0,5.52,2.019,3.27307516750747,1,0,0,1,3,0
"348","9402",1,0,0,45,9,5.5,1,0.8,0.64,0,0.27,2.019,3.27307516750747,1,0,0,1,2,0
"349","9402",0,0,0,50,9,2.66666666666667,1,0.8,0.64,0.176224264278237,0.52,2.019,3.27307516750747,1,0,1,0,2,0
"350","4230",0,0,0,35,9,5,0,0.35,0.1225,0,0.44,1.917,3.62139173833235,1,1,0,0,1,0
"351","4230",1,0,0,28,7,2,0,0.4,0.16,0,0.25,1.917,3.62139173833235,1,0,0,1,1,0
"352","3873",1,0,0,60,7,0.6,1,1.8,3.24,0,0.79,2.019,3.27307516750747,0,0.401,0.145,0.137,2,0
"353","1246",0,0,0,45,9,8,1,0.5,0.25,0,3.68,2.019,3.27307516750747,0,1,0,0,1,0
"354","1246",1,0,0,40,9,3.5,1,0.6,0.36,0,3.23,2.019,3.27307516750747,0,0,0,1,1,0
"355","9758",0,0,0,48,9,4,1,1.3,1.69,0,0.97,1.917,3.62139173833235,1,0.125,0.375,0.375,2,0
"356","8375",1,0,0,40,9,1.8,1,5,25,0,4.95,2.019,3.27307516750747,1,0,0,1,3,0
"357","8375",0,0,0,47,16,1.8,1,1.6,2.56,0,5.32,2.019,3.27307516750747,1,0,1,0,3,0
"358","1607",0,0,0,47,4,6,1,1,1,0,1.56,2.019,3.27307516750747,0,1,0,0,1,0
"359","1607",1,0,0,42,7,6,0,0.6,0.36,0,0.46,2.019,3.27307516750747,0,0,0,1,1,0
"360","9758",1,0,0,36,12,2,1,1.3,1.69,0.31794333683106,0.27,1.917,3.62139173833235,1,0.522,0.12,0.112,2,1
"361","6257",0,0,0,56,7,9,1,0.7,0.49,0.332967032967033,0.43,1.829,0.465888281697911,1,0,1,0,4,1
"362","2081",0,0,0,52,15,3.5,1,3.4,11.56,0.176224264278237,4.77,1.829,0.465888281697911,1,0,1,0,6,0
"363","6257",1,0,0,52,7,8,0,0.7,0.49,0.332967032967033,0.12,1.829,0.465888281697911,1,0.17,0.146,0.482,4,1
"364","2081",1,0,0,49,9,3.5,1,3.4,11.56,0.066561223144853,0.32,1.829,0.465888281697911,1,0.084,0.126,0.443,6,0
"365","7269",0,0,0,64,7,3,0,0.3,0.09,0,0.6,1.829,0.465888281697911,1,1,0,0,4,1
"366","5155",0,0,0,44,9,3,1,0.8,0.64,0,0.13,1.829,0.465888281697911,1,1,0,0,3,0
"367","6687",1,0,0,30,7,1,1,2.5,6.25,0.066561223144853,4.56,1.829,0.465888281697911,1,0,0,1,5,0
"368","8625",1,0,0,40,4,6,1,1.2,1.44,0,0.17,1.829,0.465888281697911,0,0.525,0.033,0.205,4,1
"369","6687",0,0,0,35,12,1,1,3,9,0,5.15,1.829,0.465888281697911,1,0,0,1,6,0
"370","7269",1,0,0,62,0,1,1,0.7,0.49,0,0.92,1.829,0.465888281697911,1,0,0,1,4,1
"371","8625",0,0,0,43,7,5,1,1.2,1.44,0,0.82,1.829,0.465888281697911,0,0.412,0.393,0.135,3,0
"372","3088",1,0,0,70,0,2,1,1,1,0,0.3,1.829,0.465888281697911,1,0,0,1,2,0
"373","3088",0,0,0,75,0,1,0,0.6,0.36,0,0.72,1.829,0.465888281697911,1,1,0,0,2,0
"374","8722",0,0,0,55,4,0.666666666666667,1,1.4,1.96,0.176224264278237,6.01,1.829,0.465888281697911,0,0,1,0,3,0
"375","8722",1,0,0,57,4,1.66666666666667,1,2,4,0.066561223144853,1.86,1.829,0.465888281697911,0,0,1,0,3,1
"376","2271",1,0,0,49,16,2,1,0.8,0.64,0.75,0.52,1.829,0.465888281697911,1,0,0,1,1,0
"377","2271",0,0,0,63,16,2,1,0.5,0.25,0,4.67,1.829,0.465888281697911,1,0,0,0,1,0
"378","5155",1,0,0,42,7,2.33333333333333,0,0.8,0.64,0,0.12,1.829,0.465888281697911,1,0.232,0.155,0.006,3,0
"379","9179",0,0,0,57,4,5,0,0.5,0.25,0,5.32,1.591,0.136070989112243,0,1,0,0,2,0
"380","9179",1,0,0,50,4,5,0,0.6,0.36,0,0.22,1.591,0.136070989112243,0,0,0,1,2,0
"381","5437",1,0,0,38,4,3,1,0.3,0.09,0.667032967032967,0.12,1.591,0.136070989112243,0,0.147,0.03,0.193,3,0
"382","5801",1,0,0,46,9,2.33333333333333,1,1,1,0.332967032967033,13.19,1.591,0.136070989112243,1,0,1,0,3,0
"383","5801",0,0,0,51,16,2.33333333333333,1,1.2,1.44,0.142655367231638,13.19,1.591,0.136070989112243,1,0,0,1,3,0
"384","5437",0,0,0,42,9,4,1,0.35,0.1225,0.667032967032967,0.12,1.591,0.136070989112243,0,1,0,0,3,0
"385","3055",1,0,0,66,0,2,0,0.4,0.16,0.142655367231638,0.3,1.591,0.136070989112243,1,0,0,1,1,0
"386","9930",1,0,0,35,7,6,0,0.48,0.2304,0.75,0.18,1.591,0.136070989112243,0,0.567,0.053,0.062,3,0
"387","9867",1,0,0,58,12,0.5,1,3,9,0,1.24,1.591,0.136070989112243,1,0,0,1,3,0
"388","9867",0,0,0,69,7,0.5,1,3,9,0,0.84,1.591,0.136070989112243,1,0,1,0,3,0
"389","3055",0,0,0,70,0,2,0,0.6,0.36,0,0.8,1.591,0.136070989112243,1,0,0,0,1,0
"390","9930",0,0,0,45,9,6,1,0.48,0.2304,0.857344632768362,0.2,1.591,0.136070989112243,0,0.412,0.393,0.135,3,0
"391","4384",1,0,0,25,15,1.33333333333333,1,0.7,0.49,0.332967032967033,1.3,1.591,0.136070989112243,1,0,1,0,3,0
"392","4384",0,0,0,30,15,1.33333333333333,1,0.6,0.36,0.332967032967033,1.31,1.591,0.136070989112243,1,0,1,0,3,0
"393","5631",0,0,0,10,7,6,1,1.6,2.56,0,0.47,1.591,0.136070989112243,1,0,1,0,3,0
"394","6418",0,0,0,47,9,6,0,0.45,0.2025,0.25,5.62,1.591,0.136070989112243,0,0.415,0.072,0.095,3,1
"395","6418",1,0,0,40,9,6,1,0.8,0.64,0.5,0.82,1.591,0.136070989112243,0,0,0,1,3,1
"396","5631",1,0,0,28,7,5,0,1.6,2.56,0,0,1.591,0.136070989112243,1,0.252,0.168,0.221,3,0
"397","5878",0,0,0,49,16,5,1,2,4,0,2.04,1.829,0.465888281697911,0,0,0,0,2,1
"398","9554",0,1,0,65,7,1.2,1,4,16,0,6.34,1.829,0.465888281697911,0,0.112,0.61,0.21,2,1
"399","5515",1,1,1,67,9,0.5,1,2.2,4.84,0,2.25,1.829,0.465888281697911,0,0,1,0,3,1
"400","7196",1,0,0,60,0,1.66666666666667,1,1,1,0,0.24,1.591,0.136070989112243,0,0,0,1,1,0
"401","7196",0,0,0,62,4,1.66666666666667,1,0.9,0.81,0,5.41,1.591,0.136070989112243,0,0,0,0,1,0
"402","2382",0,0,0,55,15,2.66666666666667,1,1.5,2.25,0,1.71,2.016,2.61773723560502,1,0,0,1,2,0
"403","2382",1,0,0,50,15,2.66666666666667,1,0.5,0.25,0,1.37,2.016,2.61773723560502,1,0.61,0.156,0.131,2,0
"404","2230",0,0,0,47,7,4,1,0.4,0.16,0,0.8,1.591,0.136070989112243,0,0,0,0,2,0
"405","2230",1,0,0,40,4,4,0,0.5,0.25,0,0.86,1.591,0.136070989112243,0,0,0,1,2,0
"406","4866",0,0,0,39,15,1.66666666666667,1,1.8,3.24,0.066561223144853,0.75,2.016,2.61773723560502,0,0.157,0.071,0.364,2,0
"407","4866",1,0,0,38,15,1.66666666666667,1,1.2,1.44,0.332967032967033,0.63,2.016,2.61773723560502,0,0,0.5,0,2,0
"408","3327",0,1,0,65,15,4,1,0.16,0.0256,0.142655367231638,1.26,2.016,2.61773723560502,0,0.163,0.273,0.465,1,0
"409","1131",0,0,0,54,9,6,1,2.5,6.25,0.176224264278237,9.67,1.591,0.136070989112243,0,0.333,0,0.333,2,0
"410","1131",1,0,0,49,9,6,1,2,4,0.176224264278237,1.72,1.591,0.136070989112243,0,0,0,1,2,0
"411","3873",0,0,0,65,7,0.75,1,1.8,3.24,0,1.32,2.019,3.27307516750747,0,0.14,0.257,0.038,2,0
