"","Number_observations","Median_price","Minimum_price","Maximum_price"
"Kawakom",393,2000,500,3000
"Great_Lakes",29,2000,1500,2500
"Kyakalanyi",92,2000,1100,3800
"Intersection",5,2500,1900,3800
"Farmer_group",9,2000,1800,2400
"Trader",194,1900,1100,2500
"Olam",9,2000,1500,2100
"Zukukabora_Mountain Harvest",15,2000,1900,2500
