"","Measure","Full_Model_Outcome","Full_Model_median","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_median","Reduced_Model_Lower","Reduced_Model_Upper"
"1","GINI",0.455982352202533,0.45274512454391,0.368625442374548,0.542989597318306,0.434879907376995,0.493097548271436,0.411064170897857,0.587126764059735
"2","Theil",0.353534448202261,0.342865254125678,0.223352167765807,0.505009482252674,0.312103769536168,0.408325665815345,0.27822483320665,0.594442243589815
"3","MLD",0.579083908038985,0.545437470906759,0.307176681079828,0.963340872850199,0.458980929434405,0.64808642348708,0.386372023345596,1.15732332270362
