"","Measure","Full_Model_Outcome","Full_Model_median","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_median","Reduced_Model_Lower","Reduced_Model_Upper"
"1","GINI",0.32500712767969,0.341719066555351,-0.0152322026141441,0.611506284867337,0.452251381596543,0.337201099281974,0.0130159048963414,0.6160868019651
"2","Theil",0.487574801234415,0.547457473496835,-0.0676340632692888,0.842581716104337,0.686507868868723,0.552214012835375,-0.052209856522179,0.84890657959749
"3","MLD",0.56839357272108,0.638686552803728,0.0228809542212939,0.882968620419203,0.757508815580943,0.646335299584867,0.118253045103396,0.88830806719724
