"","Measure","Full_Model_Outcome","Full_Model_median","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_median","Reduced_Model_Lower","Reduced_Model_Upper"
"1","GINI",0.293540837794788,0.286273151364451,0.168948110853437,0.441504086238982,0.238204868437172,0.28823792455383,0.166956136002223,0.429219551861247
"2","Theil",0.15992983614006,0.141240228397059,0.0491308397977513,0.333212615631562,0.0978420758459983,0.139755694539553,0.0471568260597364,0.328398662563682
"3","MLD",0.198099119142343,0.165835981811295,0.0537151713729854,0.448479007799572,0.111298829204308,0.162325352904678,0.0512644671281358,0.4047050368844
