"","Measure","Full_Model_Outcome","Full_Model_median","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_median","Reduced_Model_Lower","Reduced_Model_Upper"
"1","GINI",0.49289941444932,0.492851470977126,0.406357124885292,0.578460500935404,0.434879907376995,0.493097548271436,0.411064170897857,0.587126764059735
"2","Theil",0.413675341829894,0.406601099046853,0.272813992607844,0.575927115118579,0.312103769536168,0.408325665815345,0.27822483320665,0.594442243589815
"3","MLD",0.684162586671527,0.650254099258445,0.38939218190139,1.10957366583158,0.458980929434405,0.64808642348708,0.386372023345596,1.15732332270362
