"","Measure","Full_Model_Outcome","Full_Model_median","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_median","Reduced_Model_Lower","Reduced_Model_Upper"
"1","GINI",-0.133031827405054,-0.124720242599544,-0.334869602255474,0.0697909523933248,0,-0.118765234194145,-0.323714497182353,0.0824602936128346
"2","Theil",-0.339606299611574,-0.283450436164307,-0.900629793115882,0.143832439644907,0,-0.278623807947711,-0.885744900925156,0.143239591787945
"3","MLD",-0.766194522103753,-0.498666891490528,-2.19865770250451,0.147726048689633,0,-0.501260577234779,-2.20601255325918,0.180190565241693
