"","Measure","Full_Model_Outcome","Full_Model_median","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_median","Reduced_Model_Lower","Reduced_Model_Upper"
"1","GINI",0.0533422888527775,0.0533568823793938,-0.281706239981401,0.375247738077783,0.349334353950047,0.0656836779218328,-0.263653077605134,0.357719766539449
"2","Theil",0.0427586199184104,0.105182027534928,-0.739065720916442,0.60535849819812,0.591002382086113,0.12908044789457,-0.682384010841404,0.594331431628231
"3","MLD",-0.142228227644348,0.118068000159825,-1.58368766206306,0.640566023050725,0.592963938083608,0.0733809508260659,-1.6216724342987,0.58677618948511
