"","Measure","Full_Model_Outcome","Full_Model_median","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_median","Reduced_Model_Lower","Reduced_Model_Upper"
"1","GINI",0.547087973912891,0.543074699103421,0.449154358122584,0.644545976972611,0.482853031756726,0.540199185154666,0.443036828986219,0.639159558144829
"2","Theil",0.519443800033058,0.497668883692605,0.331986294140924,0.736985457950163,0.387758355390252,0.495797064932626,0.332216006851787,0.731213341468292
"3","MLD",0.902200365624339,0.76554297985328,0.435355143989708,1.63392543266939,0.51081567967196,0.766867442124903,0.41877151361755,1.63768148142992
