"","Measure","Full_Model_Outcome","Full_Model_median","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_median","Reduced_Model_Lower","Reduced_Model_Upper"
"1","GINI",0.457096646937703,0.457089600407574,0.301663590470642,0.618875880643956,0.314175949326561,0.451137568491934,0.310127026539929,0.610158854530248
"2","Theil",0.37117853220207,0.34697332200506,0.15302561760583,0.67433760713278,0.158592324412971,0.337706505112665,0.157301456980385,0.652358789264958
"3","MLD",0.583468418518079,0.450504948777589,0.183604615099353,1.31978891577349,0.207920520241364,0.473331807168911,0.211081321035439,1.33919214399681
