"","Measure","Full_Model_Outcome","Full_Model_median","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_median","Reduced_Model_Lower","Reduced_Model_Upper"
"1","GINI",0.490254369962255,0.494307369233386,0.316842644527108,0.63896153453982,0.432823960053938,0.452937186596134,0.288783368614155,0.600910540431545
"2","Theil",0.435597456377312,0.41421810010131,0.174814787779888,0.740975329817283,0.30961968927964,0.340545927374228,0.1374079412636,0.638432103802169
"3","MLD",0.574639579082859,0.519547032274487,0.205501457267098,1.02287082910558,0.383116064344233,0.434426346307204,0.172317205575551,0.89203978268309
