"","Measure","Full_Model_Outcome","Full_Model_median","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_median","Reduced_Model_Lower","Reduced_Model_Upper"
"1","GINI",0.528454218366699,0.529706873972437,0.427066590817402,0.628711074767022,0.585228538736388,0.621179774457755,0.542747094586657,0.682357799558169
"2","Theil",0.483549208670549,0.474136709395932,0.303141104413535,0.697468780619056,0.586764475354527,0.673191975665771,0.496892884621298,0.843804108183992
"3","MLD",0.756491212024355,0.71396709693046,0.398762290148545,1.26746735651021,0.900584158226721,1.09565736277719,0.705187228596823,1.69765603544044
