"","Measure","Full_Model_Outcome","Full_Model_median","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_median","Reduced_Model_Lower","Reduced_Model_Upper"
"1","GINI",0.0970122210585872,0.0948717656248143,-0.0743000950099266,0.270256724425103,0,-0.0614311048449411,-0.165968086640991,0.0725894951081095
"2","Theil",0.17590578676669,0.191947145216228,-0.18866906555247,0.483368340882648,8.51449571447648e-15,-0.147295045868307,-0.438062704246287,0.153164675961223
"3","MLD",0.159999423580914,0.207217792575573,-0.407383579793229,0.557218182769599,1.50399280030605e-14,-0.216607412831421,-0.885060957304812,0.216966874050563
