"","Measure","Full_Model_Outcome","Full_Model_median","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_median","Reduced_Model_Lower","Reduced_Model_Upper"
"1","GINI",0.616757507033685,0.612941064533288,0.54589903664283,0.684574229729618,0.585228538736388,0.621179774457755,0.542747094586657,0.682357799558169
"2","Theil",0.669553556218728,0.6537321105416,0.502055487602714,0.851021186276992,0.586764475354527,0.673191975665771,0.496892884621298,0.843804108183992
"3","MLD",1.13677244644649,1.08983486387067,0.700558299057296,1.73354418689606,0.900584158226721,1.09565736277719,0.705187228596823,1.69765603544044
