"","Measure","Full_Model_Outcome","Full_Model_median","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_median","Reduced_Model_Lower","Reduced_Model_Upper"
"1","GINI",-0.0836037307676632,-0.12996582356765,-0.390452753607941,0.468654918012806,0.248371097994576,0.16870540958715,-0.0157801412327667,0.372007035079132
"2","Theil",-0.634822713594322,-0.588803356304578,-1.96104013878823,0.740416632106576,0.410455684082946,0.272102461285362,-0.16255449208973,0.602532488256971
"3","MLD",0.0393464699137368,0.0652271510407009,-0.703584842866943,0.803798610757179,0.634670719000381,0.539365644715225,0.242113734758987,0.752298278038447
