"","Measure","Full_Model_Outcome","Full_Model_median","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_median","Reduced_Model_Lower","Reduced_Model_Upper"
"1","GINI",0.634155827926458,0.661288247748555,0.310958305896132,0.813732633175962,0.43987468399267,0.486497318406776,0.367519405197371,0.594463527731094
"2","Theil",0.959255891839845,0.932253367803576,0.152314298672747,1.73743316353978,0.345923661227314,0.427104417415746,0.233219815998368,0.682145676622079
"3","MLD",0.865149350740279,0.841841619313217,0.176695862974162,1.53422152168115,0.329009763004615,0.414840003104448,0.223076246764055,0.682540364213672
