"","Measure","Full_Model_Outcome","Full_Model_median","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_median","Reduced_Model_Lower","Reduced_Model_Upper"
"1","GINI",0.102383298871869,0.0974562672490871,-0.175071395965777,0.404447427864535,0.186789131427023,0.106856347518559,-0.154466500846344,0.405760331122754
"2","Theil",0.0914589207295574,0.143634733239789,-0.63701510344653,0.637252227500817,0.31175815113474,0.162673891042306,-0.528309143185694,0.65544834536893
"3","MLD",0.284030167725204,0.341721961513129,-0.409616236849824,0.727434377435733,0.493377764702656,0.367346492309221,-0.260347761968514,0.757261410769519
