"","Measure","Full_Model_Outcome","Full_Model_median","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_median","Reduced_Model_Lower","Reduced_Model_Upper"
"1","GINI",0.0304359345489593,0.0214043770394776,-0.165423157516721,0.239212243448118,0.14355307023971,-0.00566907813603935,-0.157478930050419,0.181699261315876
"2","Theil",0.0508083478649314,0.0652914006040052,-0.453778910345887,0.464666090628603,0.32022814673734,0.00285973307700793,-0.430800311257477,0.380703481402205
"3","MLD",-0.128434049147813,-0.0330558270478516,-1.08308589350024,0.495717412768708,0.313445775822675,-0.136164062922502,-1.05486263265413,0.405310895513761
