"","Measure","Full_Model_Outcome","Full_Model_median","Full_Model_Lower","Full_Model_Upper","Reduced_Model_Outcome","Reduced_Model_median","Reduced_Model_Lower","Reduced_Model_Upper"
"1","GINI",0.709776693490674,0.714572466968361,0.616175907658752,0.790784243356511,0.647655524669695,0.711137801906791,0.621932606873665,0.786712015128846
"2","Theil",0.976312947035413,0.970695659780944,0.679630584430315,1.27809699267532,0.767550911676514,0.969210044296741,0.698144551852417,1.26288112050807
"3","MLD",1.96876836034217,1.8651072418695,1.07743244054314,3.17987311353071,1.26237750860241,1.85919452052393,1.15071477957506,3.03259516028047
